decisao_id,data_hora,gate,questao,alternativas_consideradas,decisao,justificativa,participantes,documentos_suporte,impacto,artefatos_afetados,reversivel,status
MDN-RPP01-DEC-0001,2026-07-16T00:00:00-03:00,G0,Como preservar a rodada inicial durante a nova construção,Reprocessar a rodada inicial|Criar rodada separada,Criar MDN-RPP01 completamente separada,Evita atribuir controles prospectivos ao histórico,responsavel_do_projeto,Plano MDN-RPP01|Caderno Metodológico Externo,Criação da pasta 20 sem alteração das pastas 00 a 19,20_rodada_prospectiva_padronizada_01,sim,aprovada
MDN-RPP01-DEC-0002,2026-07-16T00:00:00-03:00,G0,Qual taxonomia orientar a nova rodada,Regras legadas|Taxonomia Mestre V1.1,Congelar Taxonomia Mestre V1.1,É a referência oficial prospectiva do projeto,responsavel_do_projeto,TAXONOMIA_MESTRE_MAPA_DA_NOITE_V1_1.md,Configuração registra versão e hash,config/MDN-RPP01-CONF-001-V0.1.json,sim,aprovada
MDN-RPP01-DEC-0003,2026-07-16T00:00:00-03:00,G0,Autorizar coleta ou processamento neste momento,Autorizar|Bloquear,Bloquear até aprovação G0,Período fontes papéis e procedimento de coleta ainda não estão preenchidos,responsavel_do_projeto,MDN-RPP01-MAN-001-V0.1.md,Nenhum lote pode ser processado,config/MDN-RPP01-CONF-001-V0.1.json,sim,aprovada
MDN-RPP01-DEC-0004,2026-07-16T06:52:38-03:00,G0,Como separar proteção documental e comunicação de mercado,Documento único com advertência penal|Dossiê restrito e minuta pública separados,Separar dossiê restrito de autoria e confidencialidade da minuta pública de posicionamento,Evita exposição de dado pessoal segredo técnico afirmação penal ampla e promessa técnica não demonstrada,Diego da Silva,Revisão crítica aprovada em 16/07/2026,Criação de dois artefatos sem alteração dos gates,MDN-RPP01-JUR-001-V0.1.md|MDN-RPP01-COM-001-V0.1.md,sim,aprovada
MDN-RPP01-DEC-0005,2026-07-16T07:17:31-03:00,G0,Como incorporar relatório de sanitização e consolidação de interações,Adotar textos recebidos como estado atual|Revisar e separar histórico prospectivo e futuro,Criar auditoria e versões corrigidas sem sobrescrever fontes,Os textos continham números futuros como executados agendas sem registro e mistura entre rodada inicial e MDN-RPP01,Diego da Silva,Relatorio_Interno_de_Sanitizacao.md|Documento_Tecnico_Interacoes_Mapa_da_Noite.md|Documento_Tecnico_Interacoes_Mapa_da_Noite.docx,Três documentos controlados criados sem coleta reprocessamento ou abertura de gate,MDN-RPP01-AUD-001-V0.1.md|MDN-RPP01-SAN-001-V0.1.md|MDN-RPP01-TEC-001-V0.1.md,sim,aprovada
MDN-RPP01-DEC-0006,2026-07-16T08:14:24-03:00,G4,Como incorporar o mockup público e o manual visual,Publicar a peça atual|Descartar a direção visual|Preservar a direção visual e corrigir a arquitetura informacional,Preservar o PDF como referência visual histórica interna e adotar uma especificação UX/UI controlada,O visual é forte mas os números e promessas confundem metas históricas e estado prospectivo além de sugerirem previsão e publicação aprovada,Diego da Silva,Mapa da Noite — Inteligência coletiva da vida noturna (1).pdf|Manual de Identidade Visual (3).docx|Manual de Identidade Visual_em construção.md|Estratégia da Interface recebida em 16/07/2026,Nenhuma publicação autorizada e criação de auditoria e especificação internas,MDN-RPP01-UXA-001-V0.1.md|MDN-RPP01-UX-001-V0.1.md,sim,aprovada
MDN-RPP01-DEC-0007,2026-07-16T08:14:24-03:00,G0,Como registrar período pergunta papéis e retenção fornecidos,Usar literalmente sem qualificação|Registrar de forma operacional neutra,Registrar 01 a 15 de junho de 2026 como período de referência e decompor a pergunta em subperguntas sem pressupor eficácia causalidade ou ausência institucional,O período já encerrou e a pergunta original reúne múltiplos construtos com termos conclusivos,Diego Silva,MDN-RPP01-APR-G0-001-V0.1.md,Manifesto e dicionário atualizados sem abrir G0,MDN-RPP01-MAN-001-V0.2.md|MDN-RPP01-DIC-001-V0.2.csv,sim,substituida_parcialmente_por_MDN-RPP01-DEC-0010
MDN-RPP01-DEC-0008,2026-07-16T08:14:24-03:00,G0,Usar a planilha Perfis Instagram como inventário de fontes,Importar como fontes|Rejeitar como inventário e preservar diagnóstico,Não importar porque a planilha contém perfis de usuários ou comentaristas e não publicações-fonte,Usá-la criaria seleção inválida exposição desnecessária e fonte sem justificativa anterior à extração,Diego Silva,Google Sheets Sheet1 E1:F1949|MDN-RPP01-FON-DIAG-001-V0.1.md,Fontes previstas permanecem pendentes e nenhum URL foi copiado para o inventário,MDN-RPP01-FON-001-V0.1.csv|MDN-RPP01-FON-DIAG-001-V0.1.md,sim,aprovada
MDN-RPP01-DEC-0009,2026-07-16T08:14:24-03:00,G0,Identificação visual da extensão é suficiente para autorizar coleta,Autorizar pela imagem|Registrar ferramenta e exigir configuração,Registrar nome versão e código mas bloquear até configuração e exportação sintética,A imagem não demonstra paginação respostas campos filtro temporal ou exclusão de e-mail e telefone,Diego Silva,MDN-RPP01-FER-EVID-001-V0.1.png|MDN-RPP01-FER-001-V0.1.md,Protocolo de coleta atualizado e minimização prévia obrigatória,MDN-RPP01-PRO-COL-001-V0.2.md|MDN-RPP01-GATE-001-V0.2.md,sim,aprovada
MDN-RPP01-DEC-0010,2026-07-16T08:47:26-03:00,G0,Até que data ampliar o período de referência para incluir repercussões posteriores ao dia 15,Manter 15 de junho|Deixar término aberto|Encerrar em 30 de junho,Fixar o período uniforme de 01 a 30 de junho de 2026,Incorpora repercussões posteriores relacionadas às festas de Corpus Christi sem criar janela indefinida e aplica o mesmo corte a todas as fontes,Diego Silva,Confirmação direta em 16/07/2026|MDN-RPP01-APR-G0-001-V0.2.md,Período documental ampliado sem alterar gates ou iniciar coleta,MDN-RPP01-MAN-001-V0.3.md|MDN-RPP01-GATE-001-V0.3.md|MDN-RPP01-PRO-COL-001-V0.3.md,sim,aprovada
